
# sample
퍼지다 広がる、太る、伸びる
편안하다 楽だ
펼치다 広げる、繰り広げる
포근하다 暖かい
푸르다 青い
풀리다 解ける、晴れる
피하다 避ける、忌む、離れる
한가하다 暇だ
합치다 合わせる、合する
합하다 合わせる、合う、加える
해내다 打ち負かす
해롭다 有害である
향하다 向かう、向く、向ける
험하다 険しい
헤매다 さまよう、彷徨く
헤어지다 別れる、散り散りになる
헤엄치다 泳ぐ
혼나다 ひどい目にあう、痛い目にあう
혼내다 叱る、懲らしめる
홀륭하다 立派だ
홈치다 ふく、盗む、手探りをする、あさる
화창하다 のどかだ
환하다 明るい、立派だ
황당하다 とてつもない
흐르다 流れる、経つ、漂う
흔들다 振る、響かせる
흔들리다 揺れる、揺れ動く
흔하다 ありふれている
흘리다 こぼす、落とす、流す
